Наименование,Ссылка,Пол,Вес,Год рождения,Возрастная группа,Продавец,Стоимость,Количество,Гены
100% Het Pied MaleBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1297403,male,        1400g    ,                            2015                    ,                    A            , BW Royals ,£80,        1    ,['100% Het Piebald']
Banana Spider Enchi Double Het Hypo Desert GhostBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1297268,female,        100g    ,                            2022                    ,                    B            , DTR ,£500,        1    ,"['Banana', 'Enchi', 'Spider', '100% Het Desert Ghost', '100% Het Hypo']"
Hypo Banana Het DgBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1297260,female,        100g    ,,                    B            , DTR ,"£1,200",        1    ,"['Banana', '100% Het Desert Ghost', 'Hypo']"
Orange Dream Cinnamon Spider Poss YbBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1297253,female,        3000g    ,,                    A            , DTR ,£250,        1    ,"['Cinnamon', 'Orange Dream', 'Spider']"
Super Mojave Poss Het HypoBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1297244,female,        3200g    ,                            2010                    ,                    A            , DTR ,£200,        1    ,['Pos Het Hypo']
Disco Inferno PinBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1297238,female,        800g    ,,                    S            , DTR ,£200,        1    ,"['Disco', 'Fire', 'Pinstripe']"
Special LavenderBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1297229,female,        850g    ,                            2020                    ,                    S            , DTR ,£700,        1    ,"['Special', 'Lavender Albino']"
Pinstripe Het ClownBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1297225,male,        100g    ,,                    B            , DTR ,£50,        1    ,"['Pinstripe', '100% Het Clown']"
Butter Pastel Fire Spider Probable Orange DreamBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1297205,female,        600g    ,                            2020                    ,                    S            , DTR ,£200,        1    ,"['Butter', 'Fire', 'Orange Dream', 'Pastel', 'Spider']"
Fire ClownBall Python,https://www.morphmarket.com/de/c/reptiles/pythons/ball-pythons/1297192,male,        100g    ,                            2022                    ,                    B            , MyRegiusBalls ,€300,        1    ,"['Fire', 'Clown']"
ConfusionBall Python,https://www.morphmarket.com/pl/c/reptiles/pythons/ball-pythons/1297179,female,        350g    ,                            2022                    ,                    B            , REDptiles.com ,€700,        1    ,['Confusion']
Enchi GHI Het ClownBall Python,https://www.morphmarket.com/pl/c/reptiles/pythons/ball-pythons/1297163,female,        400g    ,                            2022                    ,                    B            , REDptiles.com ,€650,        1    ,"['Enchi', 'GHI', '100% Het Clown']"
Pinstripe HGW MalumBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1297156,female,        1300g    ,                            2020 Jun                    ,                    A            , S&O Royals ,£180,        1    ,"['Hidden Gene Woma', 'Pinstripe', 'Malum']"
Pastel HighWay PH Dessert GhostBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/996379,male,        900g    ,                            2021                    ,                    S            , MaQz ,£500,        1    ,"['Gravel', 'Pastel', 'Yellow Belly', '100% Het Desert Ghost']"
1.0 Black Pastel 100% Het AlbinoBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/896235,male,        100g    ,                            2022                    ,                    B            , DCRoyals ,£50,        1    ,"['Black Pastel', '100% Het Albino']"
1.0 Black Pastel 100% Het AlbinoBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/977362,male,        100g    ,                            2022                    ,                    B            , DCRoyals ,£50,        1    ,"['Black Pastel', '100% Het Albino']"
1.0 Citrus Pastel Lesser Cinnamon Poss CalicoBall Python,https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/963938,male,        100g    ,                            2022                    ,                    B            , DCRoyals ,£225,        1    ,"['Cinnamon', 'Citrus Pastel', 'Lesser']"
